Entity,Code,Year,Low-carbon energy (TWh - equivalent)
Argentina,ARG,1980,51.727283
Argentina,ARG,1981,51.690998
Argentina,ARG,1982,57.693108
Argentina,ARG,1983,64.61979
Argentina,ARG,1984,72.314606
Argentina,ARG,1985,77.81526
Argentina,ARG,1986,78.78706
Argentina,ARG,1987,83.47794
Argentina,ARG,1988,61.965553
Argentina,ARG,1989,53.631596
Argentina,ARG,1990,73.46224
Argentina,ARG,1991,69.35118
Argentina,ARG,1992,77.17835
Argentina,ARG,1993,92.5798
Argentina,ARG,1994,104.369385
Argentina,ARG,1995,98.8009
Argentina,ARG,1996,88.35393
Argentina,ARG,1997,105.77617
Argentina,ARG,1998,100.19249
Argentina,ARG,1999,84.37274
Argentina,ARG,2000,103.35917
Argentina,ARG,2001,128.66866
Argentina,ARG,2002,122.642746
Argentina,ARG,2003,122.118965
Argentina,ARG,2004,112.519806
Argentina,ARG,2005,119.99127
Argentina,ARG,2006,132.78882
Argentina,ARG,2007,111.554405
Argentina,ARG,2008,111.57905
Argentina,ARG,2009,122.50644
Argentina,ARG,2010,122.39474
Argentina,ARG,2011,116.32913
Argentina,ARG,2012,113.38501
Argentina,ARG,2013,123.85672
Argentina,ARG,2014,122.500694
Argentina,ARG,2015,126.8859
Argentina,ARG,2016,122.108475
Argentina,ARG,2017,124.16215
Argentina,ARG,2018,129.54045
Argentina,ARG,2019,132.37157
Argentina,ARG,2020,134.15474
Argentina,ARG,2021,135.21205
Asia,,1965,422.96127
Asia,,1966,442.7727
Asia,,1967,414.09985
Asia,,1968,461.22037
Asia,,1969,480.8365
Asia,,1970,504.29868
Asia,,1971,558.8347
Asia,,1972,581.5727
Asia,,1973,547.0232
Asia,,1974,646.6052
Asia,,1975,708.46344
Asia,,1976,752.77216
Asia,,1977,732.82275
Asia,,1978,860.02576
Asia,,1979,960.93164
Asia,,1980,1057.6779
Asia,,1981,1134.996
Asia,,1982,1204.6969
Asia,,1983,1316.5614
Asia,,1984,1407.0309
Asia,,1985,1682.8357
Asia,,1986,1732.3536
Asia,,1987,1889.7141
Asia,,1988,2009.1534
Asia,,1989,2074.433
Asia,,1990,2185.4043
Asia,,1991,2256.709
Asia,,1992,2290.6433
Asia,,1993,2536.0212
Asia,,1994,2602.925
Asia,,1995,2844.7092
Asia,,1996,2900.3835
Asia,,1997,2984.5417
Asia,,1998,3139.068
Asia,,1999,3130.3008
Asia,,2000,3230.8606
Asia,,2001,3366.7554
Asia,,2002,3451.4976
Asia,,2003,3351.7466
Asia,,2004,3876.6467
Asia,,2005,4022.8015
Asia,,2006,4298.71
Asia,,2007,4369.942
Asia,,2008,4709.8296
Asia,,2009,4744.586
Asia,,2010,5344.596
Asia,,2011,5220.35
Asia,,2012,5390.864
Asia,,2013,5852.6064
Asia,,2014,6464.048
Asia,,2015,6970.05
Asia,,2016,7557.724
Asia,,2017,8213.786
Asia,,2018,8990.926
Asia,,2019,9953.686
Asia,,2020,10514.302
Asia,,2021,11525.069
Asia Pacific (BP),,1965,466.3959
Asia Pacific (BP),,1966,486.37418
Asia Pacific (BP),,1967,457.9536
Asia Pacific (BP),,1968,505.04794
Asia Pacific (BP),,1969,524.7897
Asia Pacific (BP),,1970,556.20215
Asia Pacific (BP),,1971,620.4897
Asia Pacific (BP),,1972,641.7892
Asia Pacific (BP),,1973,613.1819
Asia Pacific (BP),,1974,715.2183
Asia Pacific (BP),,1975,775.29443
Asia Pacific (BP),,1976,804.09705
Asia Pacific (BP),,1977,776.5954
Asia Pacific (BP),,1978,899.88916
Asia Pacific (BP),,1979,1005.1837
Asia Pacific (BP),,1980,1099.2092
Asia Pacific (BP),,1981,1173.3829
Asia Pacific (BP),,1982,1230.8293
Asia Pacific (BP),,1983,1354.3317
Asia Pacific (BP),,1984,1443.4111
Asia Pacific (BP),,1985,1606.7635
Asia Pacific (BP),,1986,1679.7994
Asia Pacific (BP),,1987,1792.025
Asia Pacific (BP),,1988,1856.2028
Asia Pacific (BP),,1989,1982.4625
Asia Pacific (BP),,1990,2063.656
Asia Pacific (BP),,1991,2152.4788
Asia Pacific (BP),,1992,2150.0862
Asia Pacific (BP),,1993,2361.4937
Asia Pacific (BP),,1994,2448.569
Asia Pacific (BP),,1995,2691.4443
Asia Pacific (BP),,1996,2722.6475
Asia Pacific (BP),,1997,2821.866
Asia Pacific (BP),,1998,2974.711
Asia Pacific (BP),,1999,2990.2822
Asia Pacific (BP),,2000,3105.702
Asia Pacific (BP),,2001,3253.1118
Asia Pacific (BP),,2002,3311.4304
Asia Pacific (BP),,2003,3190.9932
Asia Pacific (BP),,2004,3687.8142
Asia Pacific (BP),,2005,3846.4636
Asia Pacific (BP),,2006,4112.844
Asia Pacific (BP),,2007,4211.8374
Asia Pacific (BP),,2008,4620.898
Asia Pacific (BP),,2009,4664.9824
Asia Pacific (BP),,2010,5202.6963
Asia Pacific (BP),,2011,5103.27
Asia Pacific (BP),,2012,5248.531
Asia Pacific (BP),,2013,5726.8267
Asia Pacific (BP),,2014,6406.6484
Asia Pacific (BP),,2015,6833.038
Asia Pacific (BP),,2016,7417.0527
Asia Pacific (BP),,2017,8051.445
Asia Pacific (BP),,2018,8879.624
Asia Pacific (BP),,2019,9706.36
Asia Pacific (BP),,2020,10330.685
Asia Pacific (BP),,2021,11422.599
Australia,AUS,1965,23.683418
Australia,AUS,1966,22.6258
Australia,AUS,1967,23.41597
Australia,AUS,1968,24.409746
Australia,AUS,1969,26.575861
Australia,AUS,1970,30.907776
Australia,AUS,1971,34.866932
Australia,AUS,1972,35.056843
Australia,AUS,1973,37.40806
Australia,AUS,1974,42.394485
Australia,AUS,1975,45.584053
Australia,AUS,1976,43.397835
Australia,AUS,1977,41.41877
Australia,AUS,1978,44.68769
Australia,AUS,1979,43.459774
Australia,AUS,1980,41.04958
Australia,AUS,1981,42.29228
Australia,AUS,1982,39.408916
Australia,AUS,1983,37.225334
Australia,AUS,1984,40.22105
Australia,AUS,1985,42.67758
Australia,AUS,1986,42.94255
Australia,AUS,1987,41.756184
Australia,AUS,1988,44.720295
Australia,AUS,1989,44.73363
Australia,AUS,1990,46.068165
Australia,AUS,1991,48.600132
Australia,AUS,1992,49.313396
Australia,AUS,1993,50.644047
Australia,AUS,1994,50.046448
Australia,AUS,1995,48.939095
Australia,AUS,1996,50.3365
Australia,AUS,1997,50.466797
Australia,AUS,1998,50.323784
Australia,AUS,1999,52.009785
Australia,AUS,2000,52.0652
Australia,AUS,2001,50.915436
Australia,AUS,2002,52.75004
Australia,AUS,2003,54.638195
Australia,AUS,2004,56.691235
Australia,AUS,2005,60.8362
Australia,AUS,2006,62.266647
Australia,AUS,2007,59.896088
Australia,AUS,2008,56.388546
Australia,AUS,2009,59.178158
Australia,AUS,2010,65.073265
Australia,AUS,2011,88.66019
Australia,AUS,2012,87.37708
Australia,AUS,2013,101.30241
Australia,AUS,2014,93.46403
Australia,AUS,2015,100.612686
Australia,AUS,2016,115.454475
Australia,AUS,2017,108.02023
Australia,AUS,2018,134.56378
Australia,AUS,2019,149.09917
Australia,AUS,2020,171.94585
Australia,AUS,2021,205.49954
Austria,AUT,1965,47.55726
Austria,AUT,1966,51.24758
Austria,AUT,1967,52.332794
Austria,AUT,1968,53.772846
Austria,AUT,1969,49.434944
Austria,AUT,1970,62.953415
Austria,AUT,1971,49.736855
Austria,AUT,1972,51.119247
Austria,AUT,1973,56.801395
Austria,AUT,1974,67.15973
Austria,AUT,1975,70.362144
Austria,AUT,1976,60.81226
Austria,AUT,1977,73.69054
Austria,AUT,1978,73.74968
Austria,AUT,1979,83.08193
Austria,AUT,1980,86.07766
Austria,AUT,1981,91.215126
Austria,AUT,1982,91.36002
Austria,AUT,1983,90.502495
Austria,AUT,1984,79.393875
Austria,AUT,1985,94.01306
Austria,AUT,1986,95.49254
Austria,AUT,1987,107.53345
Austria,AUT,1988,107.735916
Austria,AUT,1989,107.26399
Austria,AUT,1990,96.892586
Austria,AUT,1991,96.972786
Austria,AUT,1992,107.380005
Austria,AUT,1993,112.99008
Austria,AUT,1994,109.52749
Austria,AUT,1995,115.67313
Austria,AUT,1996,106.39692
Austria,AUT,1997,112.4435
Austria,AUT,1998,116.06901
Austria,AUT,1999,125.78479
Austria,AUT,2000,128.99107
Austria,AUT,2001,124.920685
Austria,AUT,2002,123.122086
Austria,AUT,2003,103.139915
Austria,AUT,2004,115.47339
Austria,AUT,2005,118.82487
Austria,AUT,2006,120.29236
Austria,AUT,2007,127.58024
Austria,AUT,2008,131.58855
Austria,AUT,2009,139.61539
Austria,AUT,2010,132.76695
Austria,AUT,2011,120.84135
Austria,AUT,2012,148.79189
Austria,AUT,2013,145.05257
Austria,AUT,2014,144.66635
Austria,AUT,2015,138.20767
Austria,AUT,2016,145.64502
Austria,AUT,2017,144.09386
Austria,AUT,2018,140.98167
Austria,AUT,2019,152.49454
Austria,AUT,2020,153.16537
Austria,AUT,2021,154.37439
Azerbaijan,AZE,1985,3.881231
Azerbaijan,AZE,1986,2.3783975
Azerbaijan,AZE,1987,2.3783975
Azerbaijan,AZE,1988,2.0647626
Azerbaijan,AZE,1989,2.0647626
Azerbaijan,AZE,1990,4.902688
Azerbaijan,AZE,1991,5.2022314
Azerbaijan,AZE,1992,5.166747
Azerbaijan,AZE,1993,7.173656
Azerbaijan,AZE,1994,5.41129
Azerbaijan,AZE,1995,4.601075
Azerbaijan,AZE,1996,4.5448923
Azerbaijan,AZE,1997,5.0623655
Azerbaijan,AZE,1998,5.769086
Azerbaijan,AZE,1999,4.453226
Azerbaijan,AZE,2000,4.5360217
Azerbaijan,AZE,2001,3.822062
Azerbaijan,AZE,2002,5.8960457
Azerbaijan,AZE,2003,7.163306
Azerbaijan,AZE,2004,7.938951
Azerbaijan,AZE,2005,8.617157
Azerbaijan,AZE,2006,7.164729
Azerbaijan,AZE,2007,6.684496
Azerbaijan,AZE,2008,6.27205
Azerbaijan,AZE,2009,6.4525576
Azerbaijan,AZE,2010,9.566866
Azerbaijan,AZE,2011,7.3816075
Azerbaijan,AZE,2012,4.9930644
Azerbaijan,AZE,2013,4.2766585
Azerbaijan,AZE,2014,3.8128197
Azerbaijan,AZE,2015,4.7246904
Azerbaijan,AZE,2016,5.679175
Azerbaijan,AZE,2017,5.077308
Azerbaijan,AZE,2018,5.259207
Azerbaijan,AZE,2019,4.8317876
Azerbaijan,AZE,2020,3.5048163
Azerbaijan,AZE,2021,4.0342526
Bangladesh,BGD,1971,0.51747304
Bangladesh,BGD,1972,0.51747304
Bangladesh,BGD,1973,0.9787633
Bangladesh,BGD,1974,0.71854836
Bangladesh,BGD,1975,1.2892472
Bangladesh,BGD,1976,1.4607527
Bangladesh,BGD,1977,1.2922041
Bangladesh,BGD,1978,1.4962367
Bangladesh,BGD,1979,1.7357528
Bangladesh,BGD,1980,1.7239248
Bangladesh,BGD,1981,1.8481183
Bangladesh,BGD,1982,1.5465052
Bangladesh,BGD,1983,1.9575269
Bangladesh,BGD,1984,2.6524193
Bangladesh,BGD,1985,2.185215
Bangladesh,BGD,1986,1.3306452
Bangladesh,BGD,1987,1.5287633
Bangladesh,BGD,1988,1.9959676
Bangladesh,BGD,1989,2.72043
Bangladesh,BGD,1990,2.6139784
Bangladesh,BGD,1991,2.477957
Bangladesh,BGD,1992,2.3537633
Bangladesh,BGD,1993,1.7978494
Bangladesh,BGD,1994,2.50457
Bangladesh,BGD,1995,1.0999999
Bangladesh,BGD,1996,2.185215
Bangladesh,BGD,1997,2.1260753
Bangladesh,BGD,1998,2.557796
Bangladesh,BGD,1999,2.463172
Bangladesh,BGD,2000,2.2147849
Bangladesh,BGD,2001,2.9172235
Bangladesh,BGD,2002,2.1864986
Bangladesh,BGD,2003,2.174804
Bangladesh,BGD,2004,2.1638293
Bangladesh,BGD,2005,2.1544192
Bangladesh,BGD,2006,2.1511247
Bangladesh,BGD,2007,2.1478603
Bangladesh,BGD,2008,2.7204068
Bangladesh,BGD,2009,1.2521021
Bangladesh,BGD,2010,2.1669104
Bangladesh,BGD,2011,2.5902913
Bangladesh,BGD,2012,2.4064755
Bangladesh,BGD,2013,2.3680556
Bangladesh,BGD,2014,2.0198257
Bangladesh,BGD,2015,2.9751892
Bangladesh,BGD,2016,2.9798555
Bangladesh,BGD,2017,3.436772
Bangladesh,BGD,2018,3.0399451
Bangladesh,BGD,2019,3.0555327
Bangladesh,BGD,2020,2.8877046
Bangladesh,BGD,2021,2.9864774
Belarus,BLR,1985,0.05913972
Belarus,BLR,1986,0.05913972
Belarus,BLR,1987,0.05913972
Belarus,BLR,1988,0.05913972
Belarus,BLR,1989,0.05913972
Belarus,BLR,1990,0.05913972
Belarus,BLR,1991,0.05322583
Belarus,BLR,1992,0.050268885
Belarus,BLR,1993,0.056182776
Belarus,BLR,1994,0.056182776
Belarus,BLR,1995,0.05913972
Belarus,BLR,1996,0.047311943
Belarus,BLR,1997,0.062096667
Belarus,BLR,1998,0.08279583
Belarus,BLR,1999,0.056182776
Belarus,BLR,2000,0.07983861
Belarus,BLR,2001,0.08813361
Belarus,BLR,2002,0.08464611
Belarus,BLR,2003,0.0812036
Belarus,BLR,2004,0.098011106
Belarus,BLR,2005,0.10594388
Belarus,BLR,2006,0.108811386
Belarus,BLR,2007,0.14649083
Belarus,BLR,2008,0.21774055
Belarus,BLR,2009,0.3200097
Belarus,BLR,2010,0.3958214
Belarus,BLR,2011,0.43015087
Belarus,BLR,2012,0.51712334
Belarus,BLR,2013,0.6607631
Belarus,BLR,2014,0.60979056
Belarus,BLR,2015,0.7282631
Belarus,BLR,2016,0.94523335
Belarus,BLR,2017,1.9138575
Belarus,BLR,2018,1.7792885
Belarus,BLR,2019,2.1857793
Belarus,BLR,2020,3.6901789
Belarus,BLR,2021,17.492598
Belgium,BEL,1965,0.8043011
Belgium,BEL,1966,0.9011675
Belgium,BEL,1967,0.9704897
Belgium,BEL,1968,0.89459366
Belgium,BEL,1969,0.74253273
Belgium,BEL,1970,0.8891578
Belgium,BEL,1971,0.39623666
Belgium,BEL,1972,0.56347084
Belgium,BEL,1973,1.0915922
Belgium,BEL,1974,1.4743878
Belgium,BEL,1975,20.055782
Belgium,BEL,1976,28.981567
Belgium,BEL,1977,35.32793
Belgium,BEL,1978,36.99521
Belgium,BEL,1979,34.06501
Belgium,BEL,1980,37.38768
Belgium,BEL,1981,38.543148
Belgium,BEL,1982,45.578354
Belgium,BEL,1983,69.464905
Belgium,BEL,1984,79.83569
Belgium,BEL,1985,99.19869
Belgium,BEL,1986,113.17518
Belgium,BEL,1987,120.82159
Belgium,BEL,1988,123.962395
Belgium,BEL,1989,118.48613
Belgium,BEL,1990,122.93177
Belgium,BEL,1991,123.27401
Belgium,BEL,1992,125.19431
Belgium,BEL,1993,120.525314
Belgium,BEL,1994,117.10303
Belgium,BEL,1995,119.39903
Belgium,BEL,1996,124.69929
Belgium,BEL,1997,136.32431
Belgium,BEL,1998,133.32266
Belgium,BEL,1999,141.71657
Belgium,BEL,2000,139.8669
Belgium,BEL,2001,133.97198
Belgium,BEL,2002,136.16943
Belgium,BEL,2003,135.56052
Belgium,BEL,2004,135.46405
Belgium,BEL,2005,137.33086
Belgium,BEL,2006,136.5326
Belgium,BEL,2007,141.66289
Belgium,BEL,2008,136.56204
Belgium,BEL,2009,144.84138
Belgium,BEL,2010,151.66266
Belgium,BEL,2011,156.92216
Belgium,BEL,2012,141.08105
Belgium,BEL,2013,149.85114
Belgium,BEL,2014,127.66561
Belgium,BEL,2015,112.14716
Belgium,BEL,2016,157.79663
Belgium,BEL,2017,158.39188
Belgium,BEL,2018,126.434654
Belgium,BEL,2019,169.7308
Belgium,BEL,2020,158.76346
Belgium,BEL,2021,197.69963
Brazil,BRA,1965,75.447586
Brazil,BRA,1966,82.51774
Brazil,BRA,1967,86.311554
Brazil,BRA,1968,90.33602
Brazil,BRA,1969,96.66989
Brazil,BRA,1970,120.47668
Brazil,BRA,1971,131.33813
Brazil,BRA,1972,154.57855
Brazil,BRA,1973,175.49556
Brazil,BRA,1974,197.89825
Brazil,BRA,1975,217.52602
Brazil,BRA,1976,249.00003
Brazil,BRA,1977,283.95245
Brazil,BRA,1978,317.42166
Brazil,BRA,1979,364.26907
Brazil,BRA,1980,403.47314
Brazil,BRA,1981,408.01886
Brazil,BRA,1982,446.752
Brazil,BRA,1983,488.56528
Brazil,BRA,1984,546.4253
Brazil,BRA,1985,596.0943
Brazil,BRA,1986,614.9519
Brazil,BRA,1987,629.0912
Brazil,BRA,1988,671.1624
Brazil,BRA,1989,696.9994
Brazil,BRA,1990,697.99414
Brazil,BRA,1991,731.8279
Brazil,BRA,1992,750.61304
Brazil,BRA,1993,784.686
Brazil,BRA,1994,812.2955
Brazil,BRA,1995,855.6915
Brazil,BRA,1996,897.4983
Brazil,BRA,1997,937.83844
Brazil,BRA,1998,973.9907
Brazil,BRA,1999,983.49066
Brazil,BRA,2000,1010.0395
Brazil,BRA,2001,916.70654
Brazil,BRA,2002,975.1699
Brazil,BRA,2003,1026.7913
Brazil,BRA,2004,1069.1672
Brazil,BRA,2005,1115.6129
Brazil,BRA,2006,1151.433
Brazil,BRA,2007,1252.4128
Brazil,BRA,2008,1278.7423
Brazil,BRA,2009,1352.3646
Brazil,BRA,2010,1425.4855
Brazil,BRA,2011,1480.3037
Brazil,BRA,2012,1446.9193
Brazil,BRA,2013,1416.6538
Brazil,BRA,2014,1413.8114
Brazil,BRA,2015,1436.3274
Brazil,BRA,2016,1506.7762
Brazil,BRA,2017,1513.4385
Brazil,BRA,2018,1614.5416
Brazil,BRA,2019,1690.6089
Brazil,BRA,2020,1684.6029
Brazil,BRA,2021,1650.1985
Bulgaria,BGR,1965,5.9139786
Bulgaria,BGR,1966,5.943548
Bulgaria,BGR,1967,5.9790325
Bulgaria,BGR,1968,3.8588707
Bulgaria,BGR,1969,5.4379034
Bulgaria,BGR,1970,6.363441
Bulgaria,BGR,1971,6.4166665
Bulgaria,BGR,1972,6.1948924
Bulgaria,BGR,1973,7.599462
Bulgaria,BGR,1974,8.7837515
Bulgaria,BGR,1975,14.500508
Bulgaria,BGR,1976,22.891308
Bulgaria,BGR,1977,27.131151
Bulgaria,BGR,1978,25.371593
Bulgaria,BGR,1979,27.326431
Bulgaria,BGR,1980,28.47258
Bulgaria,BGR,1981,36.573685
Bulgaria,BGR,1982,39.51075
Bulgaria,BGR,1983,44.86729
Bulgaria,BGR,1984,45.77554
Bulgaria,BGR,1985,43.87419
Bulgaria,BGR,1986,41.126762
Bulgaria,BGR,1987,42.78922
Bulgaria,BGR,1988,53.16171
Bulgaria,BGR,1989,49.288498
Bulgaria,BGR,1990,47.16538
Bulgaria,BGR,1991,44.627804
Bulgaria,BGR,1992,38.87924
Bulgaria,BGR,1993,45.391068
Bulgaria,BGR,1994,47.854153
Bulgaria,BGR,1995,55.820816
Bulgaria,BGR,1996,59.939392
Bulgaria,BGR,1997,58.51227
Bulgaria,BGR,1998,57.108963
Bulgaria,BGR,1999,53.013054
Bulgaria,BGR,2000,59.484375
Bulgaria,BGR,2001,60.22459
Bulgaria,BGR,2002,63.04376
Bulgaria,BGR,2003,56.873802
Bulgaria,BGR,2004,55.62916
Bulgaria,BGR,2005,63.68615
Bulgaria,BGR,2006,65.34017
Bulgaria,BGR,2007,47.991413
Bulgaria,BGR,2008,50.84015
Bulgaria,BGR,2009,51.27067
Bulgaria,BGR,2010,56.69434
Bulgaria,BGR,2011,54.065903
Bulgaria,BGR,2012,56.168713
Bulgaria,BGR,2013,55.99233
Bulgaria,BGR,2014,61.36154
Bulgaria,BGR,2015,63.484116
Bulgaria,BGR,2016,59.733
Bulgaria,BGR,2017,56.22643
Bulgaria,BGR,2018,66.61701
Bulgaria,BGR,2019,62.78024
Bulgaria,BGR,2020,62.628407
Bulgaria,BGR,2021,66.38221
CIS (BP),,1965,246.07884
CIS (BP),,1966,277.37585
CIS (BP),,1967,268.29895
CIS (BP),,1968,316.5361
CIS (BP),,1969,350.89694
CIS (BP),,1970,380.2338
CIS (BP),,1971,388.1598
CIS (BP),,1972,391.31277
CIS (BP),,1973,402.37772
CIS (BP),,1974,451.30606
CIS (BP),,1975,453.7394
CIS (BP),,1976,509.62573
CIS (BP),,1977,579.51953
CIS (BP),,1978,650.6677
CIS (BP),,1979,677.8363
CIS (BP),,1980,753.66113
CIS (BP),,1981,799.3155
CIS (BP),,1982,800.9905
CIS (BP),,1983,849.41455
CIS (BP),,1984,1008.26355
CIS (BP),,1985,870.69006
CIS (BP),,1986,883.58844
CIS (BP),,1987,948.59546
CIS (BP),,1988,1002.1375
CIS (BP),,1989,979.6793
CIS (BP),,1990,960.57684
CIS (BP),,1991,967.4628
CIS (BP),,1992,979.65924
CIS (BP),,1993,997.80383
CIS (BP),,1994,948.08325
CIS (BP),,1995,935.15924
CIS (BP),,1996,904.27686
CIS (BP),,1997,898.5011
CIS (BP),,1998,885.7217
CIS (BP),,1999,952.6446
CIS (BP),,2000,993.15875
CIS (BP),,2001,1030.3728
CIS (BP),,2002,1008.73425
CIS (BP),,2003,1021.6092
CIS (BP),,2004,1058.159
CIS (BP),,2005,1059.4138
CIS (BP),,2006,1067.4922
CIS (BP),,2007,1085.6472
CIS (BP),,2008,1031.4935
CIS (BP),,2009,1056.5737
CIS (BP),,2010,1064.5066
CIS (BP),,2011,1053.6078
CIS (BP),,2012,1059.3895
CIS (BP),,2013,1084.7877
CIS (BP),,2014,1078.5542
CIS (BP),,2015,1096.5874
CIS (BP),,2016,1148.1324
CIS (BP),,2017,1171.8741
CIS (BP),,2018,1179.125
CIS (BP),,2019,1201.0814
CIS (BP),,2020,1263.3776
CIS (BP),,2021,1303.0942
Canada,CAN,1965,349.54813
Canada,CAN,1966,387.85364
Canada,CAN,1967,396.44598
Canada,CAN,1968,405.34674
Canada,CAN,1969,446.93597
Canada,CAN,1970,470.5519
Canada,CAN,1971,492.5031
